Academic Year,University,Type of project,New or ongoing research projects,Source of research funding,Unit,Value,Remarks
2009/10,City University of Hong Kong,Research contracts,New,HKSAR Government,Number,7,
2009/10,City University of Hong Kong,Research contracts,New,Hong Kong — other,Number,2,
2009/10,City University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,2,
2009/10,City University of Hong Kong,Research contracts,New,Hong Kong Industry,Number,3,
2009/10,City University of Hong Kong,Research contracts,New,Non-HK,Number,11,
2009/10,City University of Hong Kong,Research contracts,On-going,HKSAR Government,Number,18,
2009/10,City University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,9,
2009/10,City University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,4,
2009/10,City University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,10,
2009/10,City University of Hong Kong,Research contracts,On-going,Non-HK,Number,31,
2009/10,City University of Hong Kong,Research grants,New,Block Grant,Number,197,
2009/10,City University of Hong Kong,Research grants,New,HKSAR Government,Number,12,
2009/10,City University of Hong Kong,Research grants,New,Hong Kong — other,Number,16,
2009/10,City University of Hong Kong,Research grants,New,Other RGC Grants,Number,99,
2009/10,City University of Hong Kong,Research grants,New,RGC Direct,Number,56,
2009/10,City University of Hong Kong,Research grants,On-going,Block Grant,Number,633,
2009/10,City University of Hong Kong,Research grants,On-going,HKSAR Government,Number,37,
2009/10,City University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,41,
2009/10,City University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Number,2,
2009/10,City University of Hong Kong,Research grants,On-going,Hong Kong Industry,Number,14,
2009/10,City University of Hong Kong,Research grants,On-going,Non-HK,Number,7,
2009/10,City University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,444,
2009/10,City University of Hong Kong,Research grants,On-going,Other UGC Grants,Number,4,
2009/10,City University of Hong Kong,Research grants,On-going,RGC Direct,Number,171,
2009/10,Hong Kong Baptist University,Research contracts,New,HKSAR Government,Number,12,
2009/10,Hong Kong Baptist University,Research contracts,New,Hong Kong charities/foundations,Number,3,
2009/10,Hong Kong Baptist University,Research contracts,New,Non-HK,Number,1,
2009/10,Hong Kong Baptist University,Research contracts,On-going,HKSAR Government,Number,31,
2009/10,Hong Kong Baptist University,Research contracts,On-going,Hong Kong — other,Number,23,
2009/10,Hong Kong Baptist University,Research contracts,On-going,Hong Kong charities/foundations,Number,21,
2009/10,Hong Kong Baptist University,Research contracts,On-going,Hong Kong Industry,Number,4,
2009/10,Hong Kong Baptist University,Research contracts,On-going,Non-HK,Number,15,
2009/10,Hong Kong Baptist University,Research grants,New,Block Grant,Number,84,
2009/10,Hong Kong Baptist University,Research grants,New,HKSAR Government,Number,4,
2009/10,Hong Kong Baptist University,Research grants,New,Other RGC Grants,Number,38,
2009/10,Hong Kong Baptist University,Research grants,New,RGC Direct,Number,68,
2009/10,Hong Kong Baptist University,Research grants,On-going,Block Grant,Number,309,
2009/10,Hong Kong Baptist University,Research grants,On-going,HKSAR Government,Number,28,
2009/10,Hong Kong Baptist University,Research grants,On-going,Hong Kong — other,Number,4,
2009/10,Hong Kong Baptist University,Research grants,On-going,Non-HK,Number,4,
2009/10,Hong Kong Baptist University,Research grants,On-going,Other RGC Grants,Number,166,
2009/10,Hong Kong Baptist University,Research grants,On-going,Other UGC Grants,Number,5,
2009/10,Hong Kong Baptist University,Research grants,On-going,RGC Direct,Number,209,
2009/10,Lingnan University,Research grants,New,Block Grant,Number,35,
2009/10,Lingnan University,Research grants,New,HKSAR Government,Number,11,
2009/10,Lingnan University,Research grants,New,Hong Kong — other,Number,1,
2009/10,Lingnan University,Research grants,New,Hong Kong charities/foundations,Number,2,
2009/10,Lingnan University,Research grants,New,Non-HK,Number,3,
2009/10,Lingnan University,Research grants,New,Other RGC Grants,Number,3,
2009/10,Lingnan University,Research grants,New,Other UGC Grants,Number,1,
2009/10,Lingnan University,Research grants,New,RGC Direct,Number,22,
2009/10,Lingnan University,Research grants,On-going,Block Grant,Number,55,
2009/10,Lingnan University,Research grants,On-going,HKSAR Government,Number,16,
2009/10,Lingnan University,Research grants,On-going,Hong Kong — other,Number,2,
2009/10,Lingnan University,Research grants,On-going,Hong Kong charities/foundations,Number,5,
2009/10,Lingnan University,Research grants,On-going,Non-HK,Number,8,
2009/10,Lingnan University,Research grants,On-going,Other RGC Grants,Number,13,
2009/10,Lingnan University,Research grants,On-going,Other UGC Grants,Number,1,
2009/10,Lingnan University,Research grants,On-going,RGC Direct,Number,90,
2009/10,The Chinese University of Hong Kong,Research contracts,New,HKSAR Government,Number,66,
2009/10,The Chinese University of Hong Kong,Research contracts,New,Hong Kong — other,Number,4,
2009/10,The Chinese University of Hong Kong,Research contracts,New,Hong Kong charities/foundations,Number,3,
2009/10,The Chinese University of Hong Kong,Research contracts,New,Hong Kong Industry,Number,107,
2009/10,The Chinese University of Hong Kong,Research contracts,New,Non-HK,Number,37,
2009/10,The Chinese University of Hong Kong,Research contracts,On-going,HKSAR Government,Number,175,
2009/10,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong — other,Number,20,
2009/10,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong charities/foundations,Number,8,
2009/10,The Chinese University of Hong Kong,Research contracts,On-going,Hong Kong Industry,Number,229,
2009/10,The Chinese University of Hong Kong,Research contracts,On-going,Non-HK,Number,72,
2009/10,The Chinese University of Hong Kong,Research grants,New,Block Grant,Number,506,
2009/10,The Chinese University of Hong Kong,Research grants,New,HKSAR Government,Number,124,
2009/10,The Chinese University of Hong Kong,Research grants,New,Hong Kong — other,Number,128,
2009/10,The Chinese University of Hong Kong,Research grants,New,Hong Kong charities/foundations,Number,46,
2009/10,The Chinese University of Hong Kong,Research grants,New,Hong Kong Industry,Number,9,
2009/10,The Chinese University of Hong Kong,Research grants,New,Non-HK,Number,15,
2009/10,The Chinese University of Hong Kong,Research grants,New,Other RGC Grants,Number,198,
2009/10,The Chinese University of Hong Kong,Research grants,New,Other UGC Grants,Number,5,
2009/10,The Chinese University of Hong Kong,Research grants,New,RGC Direct,Number,290,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Block Grant,Number,693,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,HKSAR Government,Number,231,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong — other,Number,316,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong charities/foundations,Number,154,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Hong Kong Industry,Number,83,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Non-HK,Number,60,
2009/10,The Chinese University of Hong Kong,Research grants,On-going,Other RGC Grants,Number,655,
